rank,hand,category,description
263,666AA,FH,Sixes Full over Aces
264,666KK,FH,Sixes Full over Kings
265,666QQ,FH,Sixes Full over Queens
266,666JJ,FH,Sixes Full over Jacks
267,666TT,FH,Sixes Full over Tens
268,66699,FH,Sixes Full over Nines
269,66688,FH,Sixes Full over Eights
270,66677,FH,Sixes Full over Sevens
271,66655,FH,Sixes Full over Fives
272,66644,FH,Sixes Full over Fours
273,66633,FH,Sixes Full over Treys
274,66622,FH,Sixes Full over Deuces
275,555AA,FH,Fives Full over Aces
276,555KK,FH,Fives Full over Kings
277,555QQ,FH,Fives Full over Queens
278,555JJ,FH,Fives Full over Jacks
279,555TT,FH,Fives Full over Tens
280,55599,FH,Fives Full over Nines
281,55588,FH,Fives Full over Eights
282,55577,FH,Fives Full over Sevens
283,55566,FH,Fives Full over Sixes
284,55544,FH,Fives Full over Fours
285,55533,FH,Fives Full over Treys
286,55522,FH,Fives Full over Deuces
287,444AA,FH,Fours Full over Aces
288,444KK,FH,Fours Full over Kings
289,444QQ,FH,Fours Full over Queens
290,444JJ,FH,Fours Full over Jacks
291,444TT,FH,Fours Full over Tens
292,44499,FH,Fours Full over Nines
293,44488,FH,Fours Full over Eights
294,44477,FH,Fours Full over Sevens
295,44466,FH,Fours Full over Sixes
296,44455,FH,Fours Full over Fives
297,44433,FH,Fours Full over Treys
298,44422,FH,Fours Full over Deuces
299,333AA,FH,Treys Full over Aces
300,333KK,FH,Treys Full over Kings
301,333QQ,FH,Treys Full over Queens
302,333JJ,FH,Treys Full over Jacks
303,333TT,FH,Treys Full over Tens
304,33399,FH,Treys Full over Nines
305,33388,FH,Treys Full over Eights
306,33377,FH,Treys Full over Sevens
307,33366,FH,Treys Full over Sixes
308,33355,FH,Treys Full over Fives
309,33344,FH,Treys Full over Fours
310,33322,FH,Treys Full over Deuces
311,222AA,FH,Deuces Full over Aces
312,222KK,FH,Deuces Full over Kings
313,222QQ,FH,Deuces Full over Queens
314,222JJ,FH,Deuces Full over Jacks
315,222TT,FH,Deuces Full over Tens
316,22299,FH,Deuces Full over Nines
317,22288,FH,Deuces Full over Eights
318,22277,FH,Deuces Full over Sevens
319,22266,FH,Deuces Full over Sixes
320,22255,FH,Deuces Full over Fives
321,22244,FH,Deuces Full over Fours
322,22233,FH,Deuces Full over Treys
323,AKQJ9,F,Ace-High Flush
324,AKQJ8,F,Ace-High Flush
325,AKQJ7,F,Ace-High Flush
326,AKQJ6,F,Ace-High Flush
327,AKQJ5,F,Ace-High Flush
328,AKQJ4,F,Ace-High Flush
329,AKQJ3,F,Ace-High Flush
330,AKQJ2,F,Ace-High Flush
331,AKQT9,F,Ace-High Flush
332,AKQT8,F,Ace-High Flush
333,AKQT7,F,Ace-High Flush
334,AKQT6,F,Ace-High Flush
335,AKQT5,F,Ace-High Flush
336,AKQT4,F,Ace-High Flush
337,AKQT3,F,Ace-High Flush
338,AKQT2,F,Ace-High Flush
339,AKQ98,F,Ace-High Flush
340,AKQ97,F,Ace-High Flush
341,AKQ96,F,Ace-High Flush
342,AKQ95,F,Ace-High Flush
343,AKQ94,F,Ace-High Flush
344,AKQ93,F,Ace-High Flush
345,AKQ92,F,Ace-High Flush
346,AKQ87,F,Ace-High Flush
347,AKQ86,F,Ace-High Flush
348,AKQ85,F,Ace-High Flush
349,AKQ84,F,Ace-High Flush
350,AKQ83,F,Ace-High Flush
351,AKQ82,F,Ace-High Flush
352,AKQ76,F,Ace-High Flush
353,AKQ75,F,Ace-High Flush
354,AKQ74,F,Ace-High Flush
355,AKQ73,F,Ace-High Flush
356,AKQ72,F,Ace-High Flush
357,AKQ65,F,Ace-High Flush
358,AKQ64,F,Ace-High Flush
359,AKQ63,F,Ace-High Flush
360,AKQ62,F,Ace-High Flush
361,AKQ54,F,Ace-High Flush
362,AKQ53,F,Ace-High Flush
363,AKQ52,F,Ace-High Flush
364,AKQ43,F,Ace-High Flush
365,AKQ42,F,Ace-High Flush
366,AKQ32,F,Ace-High Flush
367,AKJT9,F,Ace-High Flush
368,AKJT8,F,Ace-High Flush
369,AKJT7,F,Ace-High Flush
370,AKJT6,F,Ace-High Flush
371,AKJT5,F,Ace-High Flush
372,AKJT4,F,Ace-High Flush
373,AKJT3,F,Ace-High Flush
374,AKJT2,F,Ace-High Flush
375,AKJ98,F,Ace-High Flush
376,AKJ97,F,Ace-High Flush
377,AKJ96,F,Ace-High Flush
378,AKJ95,F,Ace-High Flush
379,AKJ94,F,Ace-High Flush
380,AKJ93,F,Ace-High Flush
381,AKJ92,F,Ace-High Flush
382,AKJ87,F,Ace-High Flush
383,AKJ86,F,Ace-High Flush
384,AKJ85,F,Ace-High Flush
385,AKJ84,F,Ace-High Flush
386,AKJ83,F,Ace-High Flush
387,AKJ82,F,Ace-High Flush
388,AKJ76,F,Ace-High Flush
389,AKJ75,F,Ace-High Flush
390,AKJ74,F,Ace-High Flush
391,AKJ73,F,Ace-High Flush
392,AKJ72,F,Ace-High Flush
393,AKJ65,F,Ace-High Flush
394,AKJ64,F,Ace-High Flush
395,AKJ63,F,Ace-High Flush
396,AKJ62,F,Ace-High Flush
397,AKJ54,F,Ace-High Flush
398,AKJ53,F,Ace-High Flush
399,AKJ52,F,Ace-High Flush
400,AKJ43,F,Ace-High Flush
401,AKJ42,F,Ace-High Flush
402,AKJ32,F,Ace-High Flush
403,AKT98,F,Ace-High Flush
404,AKT97,F,Ace-High Flush
405,AKT96,F,Ace-High Flush
406,AKT95,F,Ace-High Flush
407,AKT94,F,Ace-High Flush
408,AKT93,F,Ace-High Flush
409,AKT92,F,Ace-High Flush
410,AKT87,F,Ace-High Flush
411,AKT86,F,Ace-High Flush
412,AKT85,F,Ace-High Flush
413,AKT84,F,Ace-High Flush
414,AKT83,F,Ace-High Flush
415,AKT82,F,Ace-High Flush
416,AKT76,F,Ace-High Flush
417,AKT75,F,Ace-High Flush
418,AKT74,F,Ace-High Flush
419,AKT73,F,Ace-High Flush
420,AKT72,F,Ace-High Flush
421,AKT65,F,Ace-High Flush
422,AKT64,F,Ace-High Flush
423,AKT63,F,Ace-High Flush
424,AKT62,F,Ace-High Flush
425,AKT54,F,Ace-High Flush
426,AKT53,F,Ace-High Flush
427,AKT52,F,Ace-High Flush
428,AKT43,F,Ace-High Flush
429,AKT42,F,Ace-High Flush
430,AKT32,F,Ace-High Flush
431,AK987,F,Ace-High Flush
432,AK986,F,Ace-High Flush
433,AK985,F,Ace-High Flush
434,AK984,F,Ace-High Flush
435,AK983,F,Ace-High Flush
436,AK982,F,Ace-High Flush
437,AK976,F,Ace-High Flush
438,AK975,F,Ace-High Flush
439,AK974,F,Ace-High Flush
440,AK973,F,Ace-High Flush
441,AK972,F,Ace-High Flush
442,AK965,F,Ace-High Flush
443,AK964,F,Ace-High Flush
444,AK963,F,Ace-High Flush
445,AK962,F,Ace-High Flush
446,AK954,F,Ace-High Flush
447,AK953,F,Ace-High Flush
448,AK952,F,Ace-High Flush
449,AK943,F,Ace-High Flush
450,AK942,F,Ace-High Flush
451,AK932,F,Ace-High Flush
452,AK876,F,Ace-High Flush
453,AK875,F,Ace-High Flush
454,AK874,F,Ace-High Flush
455,AK873,F,Ace-High Flush
456,AK872,F,Ace-High Flush
457,AK865,F,Ace-High Flush
458,AK864,F,Ace-High Flush
459,AK863,F,Ace-High Flush
460,AK862,F,Ace-High Flush
461,AK854,F,Ace-High Flush
462,AK853,F,Ace-High Flush
463,AK852,F,Ace-High Flush
464,AK843,F,Ace-High Flush
465,AK842,F,Ace-High Flush
466,AK832,F,Ace-High Flush
467,AK765,F,Ace-High Flush
468,AK764,F,Ace-High Flush
469,AK763,F,Ace-High Flush
470,AK762,F,Ace-High Flush
471,AK754,F,Ace-High Flush
472,AK753,F,Ace-High Flush
473,AK752,F,Ace-High Flush
474,AK743,F,Ace-High Flush
475,AK742,F,Ace-High Flush
476,AK732,F,Ace-High Flush
477,AK654,F,Ace-High Flush
478,AK653,F,Ace-High Flush
479,AK652,F,Ace-High Flush
480,AK643,F,Ace-High Flush
481,AK642,F,Ace-High Flush
482,AK632,F,Ace-High Flush
483,AK543,F,Ace-High Flush
484,AK542,F,Ace-High Flush
485,AK532,F,Ace-High Flush
486,AK432,F,Ace-High Flush
487,AQJT9,F,Ace-High Flush
488,AQJT8,F,Ace-High Flush
489,AQJT7,F,Ace-High Flush
490,AQJT6,F,Ace-High Flush
491,AQJT5,F,Ace-High Flush
492,AQJT4,F,Ace-High Flush
493,AQJT3,F,Ace-High Flush
494,AQJT2,F,Ace-High Flush
495,AQJ98,F,Ace-High Flush
496,AQJ97,F,Ace-High Flush
497,AQJ96,F,Ace-High Flush
498,AQJ95,F,Ace-High Flush
499,AQJ94,F,Ace-High Flush
500,AQJ93,F,Ace-High Flush
501,AQJ92,F,Ace-High Flush
502,AQJ87,F,Ace-High Flush
503,AQJ86,F,Ace-High Flush
504,AQJ85,F,Ace-High Flush
505,AQJ84,F,Ace-High Flush
506,AQJ83,F,Ace-High Flush
507,AQJ82,F,Ace-High Flush
508,AQJ76,F,Ace-High Flush
509,AQJ75,F,Ace-High Flush
510,AQJ74,F,Ace-High Flush
511,AQJ73,F,Ace-High Flush
512,AQJ72,F,Ace-High Flush
513,AQJ65,F,Ace-High Flush
514,AQJ64,F,Ace-High Flush
515,AQJ63,F,Ace-High Flush
516,AQJ62,F,Ace-High Flush
517,AQJ54,F,Ace-High Flush
518,AQJ53,F,Ace-High Flush
519,AQJ52,F,Ace-High Flush
520,AQJ43,F,Ace-High Flush
521,AQJ42,F,Ace-High Flush
522,AQJ32,F,Ace-High Flush
523,AQT98,F,Ace-High Flush
524,AQT97,F,Ace-High Flush
525,AQT96,F,Ace-High Flush
526,AQT95,F,Ace-High Flush
527,AQT94,F,Ace-High Flush
528,AQT93,F,Ace-High Flush
529,AQT92,F,Ace-High Flush
530,AQT87,F,Ace-High Flush
531,AQT86,F,Ace-High Flush
532,AQT85,F,Ace-High Flush
533,AQT84,F,Ace-High Flush
534,AQT83,F,Ace-High Flush
535,AQT82,F,Ace-High Flush
536,AQT76,F,Ace-High Flush
537,AQT75,F,Ace-High Flush
538,AQT74,F,Ace-High Flush
539,AQT73,F,Ace-High Flush
540,AQT72,F,Ace-High Flush
541,AQT65,F,Ace-High Flush
542,AQT64,F,Ace-High Flush
543,AQT63,F,Ace-High Flush
544,AQT62,F,Ace-High Flush
545,AQT54,F,Ace-High Flush
546,AQT53,F,Ace-High Flush
547,AQT52,F,Ace-High Flush
548,AQT43,F,Ace-High Flush
549,AQT42,F,Ace-High Flush
550,AQT32,F,Ace-High Flush
551,AQ987,F,Ace-High Flush
552,AQ986,F,Ace-High Flush
553,AQ985,F,Ace-High Flush
554,AQ984,F,Ace-High Flush
555,AQ983,F,Ace-High Flush
556,AQ982,F,Ace-High Flush
557,AQ976,F,Ace-High Flush
558,AQ975,F,Ace-High Flush
559,AQ974,F,Ace-High Flush
560,AQ973,F,Ace-High Flush
561,AQ972,F,Ace-High Flush
562,AQ965,F,Ace-High Flush
563,AQ964,F,Ace-High Flush
564,AQ963,F,Ace-High Flush
565,AQ962,F,Ace-High Flush
566,AQ954,F,Ace-High Flush
567,AQ953,F,Ace-High Flush
568,AQ952,F,Ace-High Flush
569,AQ943,F,Ace-High Flush
570,AQ942,F,Ace-High Flush
571,AQ932,F,Ace-High Flush
572,AQ876,F,Ace-High Flush
573,AQ875,F,Ace-High Flush
574,AQ874,F,Ace-High Flush
575,AQ873,F,Ace-High Flush
576,AQ872,F,Ace-High Flush
577,AQ865,F,Ace-High Flush
578,AQ864,F,Ace-High Flush
579,AQ863,F,Ace-High Flush
580,AQ862,F,Ace-High Flush
581,AQ854,F,Ace-High Flush
582,AQ853,F,Ace-High Flush
583,AQ852,F,Ace-High Flush
584,AQ843,F,Ace-High Flush
585,AQ842,F,Ace-High Flush
586,AQ832,F,Ace-High Flush
587,AQ765,F,Ace-High Flush
588,AQ764,F,Ace-High Flush
589,AQ763,F,Ace-High Flush
590,AQ762,F,Ace-High Flush
591,AQ754,F,Ace-High Flush
592,AQ753,F,Ace-High Flush
593,AQ752,F,Ace-High Flush
594,AQ743,F,Ace-High Flush
595,AQ742,F,Ace-High Flush
596,AQ732,F,Ace-High Flush
597,AQ654,F,Ace-High Flush
598,AQ653,F,Ace-High Flush
