rank,hand,category,description
3749,KK762,1P,Pair of Kings
3750,KK754,1P,Pair of Kings
3751,KK753,1P,Pair of Kings
3752,KK752,1P,Pair of Kings
3753,KK743,1P,Pair of Kings
3754,KK742,1P,Pair of Kings
3755,KK732,1P,Pair of Kings
3756,KK654,1P,Pair of Kings
3757,KK653,1P,Pair of Kings
3758,KK652,1P,Pair of Kings
3759,KK643,1P,Pair of Kings
3760,KK642,1P,Pair of Kings
3761,KK632,1P,Pair of Kings
3762,KK543,1P,Pair of Kings
3763,KK542,1P,Pair of Kings
3764,KK532,1P,Pair of Kings
3765,KK432,1P,Pair of Kings
3766,QQAKJ,1P,Pair of Queens
3767,QQAKT,1P,Pair of Queens
3768,QQAK9,1P,Pair of Queens
3769,QQAK8,1P,Pair of Queens
3770,QQAK7,1P,Pair of Queens
3771,QQAK6,1P,Pair of Queens
3772,QQAK5,1P,Pair of Queens
3773,QQAK4,1P,Pair of Queens
3774,QQAK3,1P,Pair of Queens
3775,QQAK2,1P,Pair of Queens
3776,QQAJT,1P,Pair of Queens
3777,QQAJ9,1P,Pair of Queens
3778,QQAJ8,1P,Pair of Queens
3779,QQAJ7,1P,Pair of Queens
3780,QQAJ6,1P,Pair of Queens
3781,QQAJ5,1P,Pair of Queens
3782,QQAJ4,1P,Pair of Queens
3783,QQAJ3,1P,Pair of Queens
3784,QQAJ2,1P,Pair of Queens
3785,QQAT9,1P,Pair of Queens
3786,QQAT8,1P,Pair of Queens
3787,QQAT7,1P,Pair of Queens
3788,QQAT6,1P,Pair of Queens
3789,QQAT5,1P,Pair of Queens
3790,QQAT4,1P,Pair of Queens
3791,QQAT3,1P,Pair of Queens
3792,QQAT2,1P,Pair of Queens
3793,QQA98,1P,Pair of Queens
3794,QQA97,1P,Pair of Queens
3795,QQA96,1P,Pair of Queens
3796,QQA95,1P,Pair of Queens
3797,QQA94,1P,Pair of Queens
3798,QQA93,1P,Pair of Queens
3799,QQA92,1P,Pair of Queens
3800,QQA87,1P,Pair of Queens
3801,QQA86,1P,Pair of Queens
3802,QQA85,1P,Pair of Queens
3803,QQA84,1P,Pair of Queens
3804,QQA83,1P,Pair of Queens
3805,QQA82,1P,Pair of Queens
3806,QQA76,1P,Pair of Queens
3807,QQA75,1P,Pair of Queens
3808,QQA74,1P,Pair of Queens
3809,QQA73,1P,Pair of Queens
3810,QQA72,1P,Pair of Queens
3811,QQA65,1P,Pair of Queens
3812,QQA64,1P,Pair of Queens
3813,QQA63,1P,Pair of Queens
3814,QQA62,1P,Pair of Queens
3815,QQA54,1P,Pair of Queens
3816,QQA53,1P,Pair of Queens
3817,QQA52,1P,Pair of Queens
3818,QQA43,1P,Pair of Queens
3819,QQA42,1P,Pair of Queens
3820,QQA32,1P,Pair of Queens
3821,QQKJT,1P,Pair of Queens
3822,QQKJ9,1P,Pair of Queens
3823,QQKJ8,1P,Pair of Queens
3824,QQKJ7,1P,Pair of Queens
3825,QQKJ6,1P,Pair of Queens
3826,QQKJ5,1P,Pair of Queens
3827,QQKJ4,1P,Pair of Queens
3828,QQKJ3,1P,Pair of Queens
3829,QQKJ2,1P,Pair of Queens
3830,QQKT9,1P,Pair of Queens
3831,QQKT8,1P,Pair of Queens
3832,QQKT7,1P,Pair of Queens
3833,QQKT6,1P,Pair of Queens
3834,QQKT5,1P,Pair of Queens
3835,QQKT4,1P,Pair of Queens
3836,QQKT3,1P,Pair of Queens
3837,QQKT2,1P,Pair of Queens
3838,QQK98,1P,Pair of Queens
3839,QQK97,1P,Pair of Queens
3840,QQK96,1P,Pair of Queens
3841,QQK95,1P,Pair of Queens
3842,QQK94,1P,Pair of Queens
3843,QQK93,1P,Pair of Queens
3844,QQK92,1P,Pair of Queens
3845,QQK87,1P,Pair of Queens
3846,QQK86,1P,Pair of Queens
3847,QQK85,1P,Pair of Queens
3848,QQK84,1P,Pair of Queens
3849,QQK83,1P,Pair of Queens
3850,QQK82,1P,Pair of Queens
3851,QQK76,1P,Pair of Queens
3852,QQK75,1P,Pair of Queens
3853,QQK74,1P,Pair of Queens
3854,QQK73,1P,Pair of Queens
3855,QQK72,1P,Pair of Queens
3856,QQK65,1P,Pair of Queens
3857,QQK64,1P,Pair of Queens
3858,QQK63,1P,Pair of Queens
3859,QQK62,1P,Pair of Queens
3860,QQK54,1P,Pair of Queens
3861,QQK53,1P,Pair of Queens
3862,QQK52,1P,Pair of Queens
3863,QQK43,1P,Pair of Queens
3864,QQK42,1P,Pair of Queens
3865,QQK32,1P,Pair of Queens
3866,QQJT9,1P,Pair of Queens
3867,QQJT8,1P,Pair of Queens
3868,QQJT7,1P,Pair of Queens
3869,QQJT6,1P,Pair of Queens
3870,QQJT5,1P,Pair of Queens
3871,QQJT4,1P,Pair of Queens
3872,QQJT3,1P,Pair of Queens
3873,QQJT2,1P,Pair of Queens
3874,QQJ98,1P,Pair of Queens
3875,QQJ97,1P,Pair of Queens
3876,QQJ96,1P,Pair of Queens
3877,QQJ95,1P,Pair of Queens
3878,QQJ94,1P,Pair of Queens
3879,QQJ93,1P,Pair of Queens
3880,QQJ92,1P,Pair of Queens
3881,QQJ87,1P,Pair of Queens
3882,QQJ86,1P,Pair of Queens
3883,QQJ85,1P,Pair of Queens
3884,QQJ84,1P,Pair of Queens
3885,QQJ83,1P,Pair of Queens
3886,QQJ82,1P,Pair of Queens
3887,QQJ76,1P,Pair of Queens
3888,QQJ75,1P,Pair of Queens
3889,QQJ74,1P,Pair of Queens
3890,QQJ73,1P,Pair of Queens
3891,QQJ72,1P,Pair of Queens
3892,QQJ65,1P,Pair of Queens
3893,QQJ64,1P,Pair of Queens
3894,QQJ63,1P,Pair of Queens
3895,QQJ62,1P,Pair of Queens
3896,QQJ54,1P,Pair of Queens
3897,QQJ53,1P,Pair of Queens
3898,QQJ52,1P,Pair of Queens
3899,QQJ43,1P,Pair of Queens
3900,QQJ42,1P,Pair of Queens
3901,QQJ32,1P,Pair of Queens
3902,QQT98,1P,Pair of Queens
3903,QQT97,1P,Pair of Queens
3904,QQT96,1P,Pair of Queens
3905,QQT95,1P,Pair of Queens
3906,QQT94,1P,Pair of Queens
3907,QQT93,1P,Pair of Queens
3908,QQT92,1P,Pair of Queens
3909,QQT87,1P,Pair of Queens
3910,QQT86,1P,Pair of Queens
3911,QQT85,1P,Pair of Queens
3912,QQT84,1P,Pair of Queens
3913,QQT83,1P,Pair of Queens
3914,QQT82,1P,Pair of Queens
3915,QQT76,1P,Pair of Queens
3916,QQT75,1P,Pair of Queens
3917,QQT74,1P,Pair of Queens
3918,QQT73,1P,Pair of Queens
3919,QQT72,1P,Pair of Queens
3920,QQT65,1P,Pair of Queens
3921,QQT64,1P,Pair of Queens
3922,QQT63,1P,Pair of Queens
3923,QQT62,1P,Pair of Queens
3924,QQT54,1P,Pair of Queens
3925,QQT53,1P,Pair of Queens
3926,QQT52,1P,Pair of Queens
3927,QQT43,1P,Pair of Queens
3928,QQT42,1P,Pair of Queens
3929,QQT32,1P,Pair of Queens
3930,QQ987,1P,Pair of Queens
3931,QQ986,1P,Pair of Queens
3932,QQ985,1P,Pair of Queens
3933,QQ984,1P,Pair of Queens
3934,QQ983,1P,Pair of Queens
3935,QQ982,1P,Pair of Queens
3936,QQ976,1P,Pair of Queens
3937,QQ975,1P,Pair of Queens
3938,QQ974,1P,Pair of Queens
3939,QQ973,1P,Pair of Queens
3940,QQ972,1P,Pair of Queens
3941,QQ965,1P,Pair of Queens
3942,QQ964,1P,Pair of Queens
3943,QQ963,1P,Pair of Queens
3944,QQ962,1P,Pair of Queens
3945,QQ954,1P,Pair of Queens
3946,QQ953,1P,Pair of Queens
3947,QQ952,1P,Pair of Queens
3948,QQ943,1P,Pair of Queens
3949,QQ942,1P,Pair of Queens
3950,QQ932,1P,Pair of Queens
3951,QQ876,1P,Pair of Queens
3952,QQ875,1P,Pair of Queens
3953,QQ874,1P,Pair of Queens
3954,QQ873,1P,Pair of Queens
3955,QQ872,1P,Pair of Queens
3956,QQ865,1P,Pair of Queens
3957,QQ864,1P,Pair of Queens
3958,QQ863,1P,Pair of Queens
3959,QQ862,1P,Pair of Queens
3960,QQ854,1P,Pair of Queens
3961,QQ853,1P,Pair of Queens
3962,QQ852,1P,Pair of Queens
3963,QQ843,1P,Pair of Queens
3964,QQ842,1P,Pair of Queens
3965,QQ832,1P,Pair of Queens
3966,QQ765,1P,Pair of Queens
3967,QQ764,1P,Pair of Queens
3968,QQ763,1P,Pair of Queens
3969,QQ762,1P,Pair of Queens
3970,QQ754,1P,Pair of Queens
3971,QQ753,1P,Pair of Queens
3972,QQ752,1P,Pair of Queens
3973,QQ743,1P,Pair of Queens
3974,QQ742,1P,Pair of Queens
3975,QQ732,1P,Pair of Queens
3976,QQ654,1P,Pair of Queens
3977,QQ653,1P,Pair of Queens
3978,QQ652,1P,Pair of Queens
3979,QQ643,1P,Pair of Queens
3980,QQ642,1P,Pair of Queens
3981,QQ632,1P,Pair of Queens
3982,QQ543,1P,Pair of Queens
3983,QQ542,1P,Pair of Queens
3984,QQ532,1P,Pair of Queens
3985,QQ432,1P,Pair of Queens
3986,JJAKQ,1P,Pair of Jacks
3987,JJAKT,1P,Pair of Jacks
3988,JJAK9,1P,Pair of Jacks
3989,JJAK8,1P,Pair of Jacks
3990,JJAK7,1P,Pair of Jacks
3991,JJAK6,1P,Pair of Jacks
3992,JJAK5,1P,Pair of Jacks
3993,JJAK4,1P,Pair of Jacks
3994,JJAK3,1P,Pair of Jacks
3995,JJAK2,1P,Pair of Jacks
3996,JJAQT,1P,Pair of Jacks
3997,JJAQ9,1P,Pair of Jacks
3998,JJAQ8,1P,Pair of Jacks
3999,JJAQ7,1P,Pair of Jacks
4000,JJAQ6,1P,Pair of Jacks
4001,JJAQ5,1P,Pair of Jacks
4002,JJAQ4,1P,Pair of Jacks
4003,JJAQ3,1P,Pair of Jacks
4004,JJAQ2,1P,Pair of Jacks
4005,JJAT9,1P,Pair of Jacks
4006,JJAT8,1P,Pair of Jacks
4007,JJAT7,1P,Pair of Jacks
4008,JJAT6,1P,Pair of Jacks
4009,JJAT5,1P,Pair of Jacks
4010,JJAT4,1P,Pair of Jacks
4011,JJAT3,1P,Pair of Jacks
4012,JJAT2,1P,Pair of Jacks
4013,JJA98,1P,Pair of Jacks
4014,JJA97,1P,Pair of Jacks
4015,JJA96,1P,Pair of Jacks
4016,JJA95,1P,Pair of Jacks
4017,JJA94,1P,Pair of Jacks
4018,JJA93,1P,Pair of Jacks
4019,JJA92,1P,Pair of Jacks
4020,JJA87,1P,Pair of Jacks
4021,JJA86,1P,Pair of Jacks
4022,JJA85,1P,Pair of Jacks
4023,JJA84,1P,Pair of Jacks
4024,JJA83,1P,Pair of Jacks
4025,JJA82,1P,Pair of Jacks
4026,JJA76,1P,Pair of Jacks
4027,JJA75,1P,Pair of Jacks
4028,JJA74,1P,Pair of Jacks
4029,JJA73,1P,Pair of Jacks
4030,JJA72,1P,Pair of Jacks
4031,JJA65,1P,Pair of Jacks
4032,JJA64,1P,Pair of Jacks
4033,JJA63,1P,Pair of Jacks
4034,JJA62,1P,Pair of Jacks
4035,JJA54,1P,Pair of Jacks
4036,JJA53,1P,Pair of Jacks
4037,JJA52,1P,Pair of Jacks
4038,JJA43,1P,Pair of Jacks
4039,JJA42,1P,Pair of Jacks
4040,JJA32,1P,Pair of Jacks
4041,JJKQT,1P,Pair of Jacks
4042,JJKQ9,1P,Pair of Jacks
4043,JJKQ8,1P,Pair of Jacks
4044,JJKQ7,1P,Pair of Jacks
4045,JJKQ6,1P,Pair of Jacks
4046,JJKQ5,1P,Pair of Jacks
4047,JJKQ4,1P,Pair of Jacks
4048,JJKQ3,1P,Pair of Jacks
4049,JJKQ2,1P,Pair of Jacks
4050,JJKT9,1P,Pair of Jacks
4051,JJKT8,1P,Pair of Jacks
4052,JJKT7,1P,Pair of Jacks
4053,JJKT6,1P,Pair of Jacks
4054,JJKT5,1P,Pair of Jacks
4055,JJKT4,1P,Pair of Jacks
4056,JJKT3,1P,Pair of Jacks
4057,JJKT2,1P,Pair of Jacks
4058,JJK98,1P,Pair of Jacks
4059,JJK97,1P,Pair of Jacks
4060,JJK96,1P,Pair of Jacks
4061,JJK95,1P,Pair of Jacks
4062,JJK94,1P,Pair of Jacks
4063,JJK93,1P,Pair of Jacks
4064,JJK92,1P,Pair of Jacks
4065,JJK87,1P,Pair of Jacks
4066,JJK86,1P,Pair of Jacks
4067,JJK85,1P,Pair of Jacks
4068,JJK84,1P,Pair of Jacks
4069,JJK83,1P,Pair of Jacks
4070,JJK82,1P,Pair of Jacks
4071,JJK76,1P,Pair of Jacks
4072,JJK75,1P,Pair of Jacks
4073,JJK74,1P,Pair of Jacks
4074,JJK73,1P,Pair of Jacks
4075,JJK72,1P,Pair of Jacks
4076,JJK65,1P,Pair of Jacks
4077,JJK64,1P,Pair of Jacks
4078,JJK63,1P,Pair of Jacks
4079,JJK62,1P,Pair of Jacks
4080,JJK54,1P,Pair of Jacks
4081,JJK53,1P,Pair of Jacks
4082,JJK52,1P,Pair of Jacks
4083,JJK43,1P,Pair of Jacks
4084,JJK42,1P,Pair of Jacks
4085,JJK32,1P,Pair of Jacks
4086,JJQT9,1P,Pair of Jacks
4087,JJQT8,1P,Pair of Jacks
4088,JJQT7,1P,Pair of Jacks
4089,JJQT6,1P,Pair of Jacks
4090,JJQT5,1P,Pair of Jacks
4091,JJQT4,1P,Pair of Jacks
4092,JJQT3,1P,Pair of Jacks
4093,JJQT2,1P,Pair of Jacks
4094,JJQ98,1P,Pair of Jacks
4095,JJQ97,1P,Pair of Jacks
4096,JJQ96,1P,Pair of Jacks
4097,JJQ95,1P,Pair of Jacks
4098,JJQ94,1P,Pair of Jacks
4099,JJQ93,1P,Pair of Jacks
4100,JJQ92,1P,Pair of Jacks
4101,JJQ87,1P,Pair of Jacks
4102,JJQ86,1P,Pair of Jacks
4103,JJQ85,1P,Pair of Jacks
4104,JJQ84,1P,Pair of Jacks
4105,JJQ83,1P,Pair of Jacks
4106,JJQ82,1P,Pair of Jacks
4107,JJQ76,1P,Pair of Jacks
4108,JJQ75,1P,Pair of Jacks
4109,JJQ74,1P,Pair of Jacks
4110,JJQ73,1P,Pair of Jacks
4111,JJQ72,1P,Pair of Jacks
4112,JJQ65,1P,Pair of Jacks
4113,JJQ64,1P,Pair of Jacks
4114,JJQ63,1P,Pair of Jacks
4115,JJQ62,1P,Pair of Jacks
4116,JJQ54,1P,Pair of Jacks
4117,JJQ53,1P,Pair of Jacks
4118,JJQ52,1P,Pair of Jacks
4119,JJQ43,1P,Pair of Jacks
4120,JJQ42,1P,Pair of Jacks
4121,JJQ32,1P,Pair of Jacks
4122,JJT98,1P,Pair of Jacks
4123,JJT97,1P,Pair of Jacks
4124,JJT96,1P,Pair of Jacks
4125,JJT95,1P,Pair of Jacks
4126,JJT94,1P,Pair of Jacks
4127,JJT93,1P,Pair of Jacks
4128,JJT92,1P,Pair of Jacks
4129,JJT87,1P,Pair of Jacks
4130,JJT86,1P,Pair of Jacks
4131,JJT85,1P,Pair of Jacks
4132,JJT84,1P,Pair of Jacks
4133,JJT83,1P,Pair of Jacks
4134,JJT82,1P,Pair of Jacks
4135,JJT76,1P,Pair of Jacks
4136,JJT75,1P,Pair of Jacks
4137,JJT74,1P,Pair of Jacks
4138,JJT73,1P,Pair of Jacks
4139,JJT72,1P,Pair of Jacks
4140,JJT65,1P,Pair of Jacks
4141,JJT64,1P,Pair of Jacks
4142,JJT63,1P,Pair of Jacks
4143,JJT62,1P,Pair of Jacks
4144,JJT54,1P,Pair of Jacks
4145,JJT53,1P,Pair of Jacks
4146,JJT52,1P,Pair of Jacks
4147,JJT43,1P,Pair of Jacks
4148,JJT42,1P,Pair of Jacks
4149,JJT32,1P,Pair of Jacks
4150,JJ987,1P,Pair of Jacks
4151,JJ986,1P,Pair of Jacks
4152,JJ985,1P,Pair of Jacks
4153,JJ984,1P,Pair of Jacks
4154,JJ983,1P,Pair of Jacks
4155,JJ982,1P,Pair of Jacks
4156,JJ976,1P,Pair of Jacks
4157,JJ975,1P,Pair of Jacks
4158,JJ974,1P,Pair of Jacks
4159,JJ973,1P,Pair of Jacks
4160,JJ972,1P,Pair of Jacks
4161,JJ965,1P,Pair of Jacks
4162,JJ964,1P,Pair of Jacks
4163,JJ963,1P,Pair of Jacks
4164,JJ962,1P,Pair of Jacks
4165,JJ954,1P,Pair of Jacks
4166,JJ953,1P,Pair of Jacks
4167,JJ952,1P,Pair of Jacks
4168,JJ943,1P,Pair of Jacks
4169,JJ942,1P,Pair of Jacks
4170,JJ932,1P,Pair of Jacks
4171,JJ876,1P,Pair of Jacks
4172,JJ875,1P,Pair of Jacks
4173,JJ874,1P,Pair of Jacks
4174,JJ873,1P,Pair of Jacks
4175,JJ872,1P,Pair of Jacks
4176,JJ865,1P,Pair of Jacks
4177,JJ864,1P,Pair of Jacks
4178,JJ863,1P,Pair of Jacks
4179,JJ862,1P,Pair of Jacks
4180,JJ854,1P,Pair of Jacks
4181,JJ853,1P,Pair of Jacks
4182,JJ852,1P,Pair of Jacks
4183,JJ843,1P,Pair of Jacks
4184,JJ842,1P,Pair of Jacks
4185,JJ832,1P,Pair of Jacks
4186,JJ765,1P,Pair of Jacks
4187,JJ764,1P,Pair of Jacks
4188,JJ763,1P,Pair of Jacks
4189,JJ762,1P,Pair of Jacks
4190,JJ754,1P,Pair of Jacks
4191,JJ753,1P,Pair of Jacks
4192,JJ752,1P,Pair of Jacks
4193,JJ743,1P,Pair of Jacks
4194,JJ742,1P,Pair of Jacks
4195,JJ732,1P,Pair of Jacks
4196,JJ654,1P,Pair of Jacks
4197,JJ653,1P,Pair of Jacks
4198,JJ652,1P,Pair of Jacks
4199,JJ643,1P,Pair of Jacks
4200,JJ642,1P,Pair of Jacks
4201,JJ632,1P,Pair of Jacks
4202,JJ543,1P,Pair of Jacks
4203,JJ542,1P,Pair of Jacks
4204,JJ532,1P,Pair of Jacks
4205,JJ432,1P,Pair of Jacks
4206,TTAKQ,1P,Pair of Tens
4207,TTAKJ,1P,Pair of Tens
4208,TTAK9,1P,Pair of Tens
4209,TTAK8,1P,Pair of Tens
4210,TTAK7,1P,Pair of Tens
4211,TTAK6,1P,Pair of Tens
4212,TTAK5,1P,Pair of Tens
4213,TTAK4,1P,Pair of Tens
4214,TTAK3,1P,Pair of Tens
4215,TTAK2,1P,Pair of Tens
4216,TTAQJ,1P,Pair of Tens
4217,TTAQ9,1P,Pair of Tens
4218,TTAQ8,1P,Pair of Tens
4219,TTAQ7,1P,Pair of Tens
4220,TTAQ6,1P,Pair of Tens
4221,TTAQ5,1P,Pair of Tens
4222,TTAQ4,1P,Pair of Tens
4223,TTAQ3,1P,Pair of Tens
4224,TTAQ2,1P,Pair of Tens
4225,TTAJ9,1P,Pair of Tens
4226,TTAJ8,1P,Pair of Tens
4227,TTAJ7,1P,Pair of Tens
4228,TTAJ6,1P,Pair of Tens
4229,TTAJ5,1P,Pair of Tens
4230,TTAJ4,1P,Pair of Tens
4231,TTAJ3,1P,Pair of Tens
4232,TTAJ2,1P,Pair of Tens
4233,TTA98,1P,Pair of Tens
4234,TTA97,1P,Pair of Tens
4235,TTA96,1P,Pair of Tens
4236,TTA95,1P,Pair of Tens
4237,TTA94,1P,Pair of Tens
4238,TTA93,1P,Pair of Tens
4239,TTA92,1P,Pair of Tens
4240,TTA87,1P,Pair of Tens
4241,TTA86,1P,Pair of Tens
4242,TTA85,1P,Pair of Tens
4243,TTA84,1P,Pair of Tens
4244,TTA83,1P,Pair of Tens
4245,TTA82,1P,Pair of Tens
4246,TTA76,1P,Pair of Tens
4247,TTA75,1P,Pair of Tens
4248,TTA74,1P,Pair of Tens
4249,TTA73,1P,Pair of Tens
4250,TTA72,1P,Pair of Tens
4251,TTA65,1P,Pair of Tens
4252,TTA64,1P,Pair of Tens
4253,TTA63,1P,Pair of Tens
4254,TTA62,1P,Pair of Tens
4255,TTA54,1P,Pair of Tens
4256,TTA53,1P,Pair of Tens
4257,TTA52,1P,Pair of Tens
4258,TTA43,1P,Pair of Tens
4259,TTA42,1P,Pair of Tens
4260,TTA32,1P,Pair of Tens
4261,TTKQJ,1P,Pair of Tens
4262,TTKQ9,1P,Pair of Tens
4263,TTKQ8,1P,Pair of Tens
4264,TTKQ7,1P,Pair of Tens
4265,TTKQ6,1P,Pair of Tens
4266,TTKQ5,1P,Pair of Tens
4267,TTKQ4,1P,Pair of Tens
4268,TTKQ3,1P,Pair of Tens
4269,TTKQ2,1P,Pair of Tens
4270,TTKJ9,1P,Pair of Tens
4271,TTKJ8,1P,Pair of Tens
4272,TTKJ7,1P,Pair of Tens
4273,TTKJ6,1P,Pair of Tens
4274,TTKJ5,1P,Pair of Tens
4275,TTKJ4,1P,Pair of Tens
4276,TTKJ3,1P,Pair of Tens
4277,TTKJ2,1P,Pair of Tens
4278,TTK98,1P,Pair of Tens
4279,TTK97,1P,Pair of Tens
4280,TTK96,1P,Pair of Tens
4281,TTK95,1P,Pair of Tens
4282,TTK94,1P,Pair of Tens
4283,TTK93,1P,Pair of Tens
4284,TTK92,1P,Pair of Tens
4285,TTK87,1P,Pair of Tens
4286,TTK86,1P,Pair of Tens
4287,TTK85,1P,Pair of Tens
4288,TTK84,1P,Pair of Tens
4289,TTK83,1P,Pair of Tens
4290,TTK82,1P,Pair of Tens
4291,TTK76,1P,Pair of Tens
4292,TTK75,1P,Pair of Tens
4293,TTK74,1P,Pair of Tens
4294,TTK73,1P,Pair of Tens
4295,TTK72,1P,Pair of Tens
4296,TTK65,1P,Pair of Tens
4297,TTK64,1P,Pair of Tens
4298,TTK63,1P,Pair of Tens
4299,TTK62,1P,Pair of Tens
4300,TTK54,1P,Pair of Tens
4301,TTK53,1P,Pair of Tens
4302,TTK52,1P,Pair of Tens
4303,TTK43,1P,Pair of Tens
4304,TTK42,1P,Pair of Tens
4305,TTK32,1P,Pair of Tens
4306,TTQJ9,1P,Pair of Tens
4307,TTQJ8,1P,Pair of Tens
4308,TTQJ7,1P,Pair of Tens
4309,TTQJ6,1P,Pair of Tens
4310,TTQJ5,1P,Pair of Tens
4311,TTQJ4,1P,Pair of Tens
4312,TTQJ3,1P,Pair of Tens
4313,TTQJ2,1P,Pair of Tens
4314,TTQ98,1P,Pair of Tens
4315,TTQ97,1P,Pair of Tens
4316,TTQ96,1P,Pair of Tens
4317,TTQ95,1P,Pair of Tens
4318,TTQ94,1P,Pair of Tens
4319,TTQ93,1P,Pair of Tens
4320,TTQ92,1P,Pair of Tens
4321,TTQ87,1P,Pair of Tens
4322,TTQ86,1P,Pair of Tens
4323,TTQ85,1P,Pair of Tens
4324,TTQ84,1P,Pair of Tens
4325,TTQ83,1P,Pair of Tens
4326,TTQ82,1P,Pair of Tens
4327,TTQ76,1P,Pair of Tens
4328,TTQ75,1P,Pair of Tens
4329,TTQ74,1P,Pair of Tens
4330,TTQ73,1P,Pair of Tens
4331,TTQ72,1P,Pair of Tens
4332,TTQ65,1P,Pair of Tens
4333,TTQ64,1P,Pair of Tens
4334,TTQ63,1P,Pair of Tens
4335,TTQ62,1P,Pair of Tens
4336,TTQ54,1P,Pair of Tens
4337,TTQ53,1P,Pair of Tens
4338,TTQ52,1P,Pair of Tens
4339,TTQ43,1P,Pair of Tens
4340,TTQ42,1P,Pair of Tens
4341,TTQ32,1P,Pair of Tens
4342,TTJ98,1P,Pair of Tens
4343,TTJ97,1P,Pair of Tens
4344,TTJ96,1P,Pair of Tens
4345,TTJ95,1P,Pair of Tens
4346,TTJ94,1P,Pair of Tens
4347,TTJ93,1P,Pair of Tens
4348,TTJ92,1P,Pair of Tens
4349,TTJ87,1P,Pair of Tens
4350,TTJ86,1P,Pair of Tens
4351,TTJ85,1P,Pair of Tens
4352,TTJ84,1P,Pair of Tens
4353,TTJ83,1P,Pair of Tens
4354,TTJ82,1P,Pair of Tens
4355,TTJ76,1P,Pair of Tens
4356,TTJ75,1P,Pair of Tens
4357,TTJ74,1P,Pair of Tens
4358,TTJ73,1P,Pair of Tens
4359,TTJ72,1P,Pair of Tens
4360,TTJ65,1P,Pair of Tens
4361,TTJ64,1P,Pair of Tens
4362,TTJ63,1P,Pair of Tens
4363,TTJ62,1P,Pair of Tens
4364,TTJ54,1P,Pair of Tens
4365,TTJ53,1P,Pair of Tens
4366,TTJ52,1P,Pair of Tens
4367,TTJ43,1P,Pair of Tens
4368,TTJ42,1P,Pair of Tens
4369,TTJ32,1P,Pair of Tens
4370,TT987,1P,Pair of Tens
4371,TT986,1P,Pair of Tens
4372,TT985,1P,Pair of Tens
4373,TT984,1P,Pair of Tens
4374,TT983,1P,Pair of Tens
4375,TT982,1P,Pair of Tens
4376,TT976,1P,Pair of Tens
4377,TT975,1P,Pair of Tens
4378,TT974,1P,Pair of Tens
4379,TT973,1P,Pair of Tens
4380,TT972,1P,Pair of Tens
4381,TT965,1P,Pair of Tens
4382,TT964,1P,Pair of Tens
4383,TT963,1P,Pair of Tens
4384,TT962,1P,Pair of Tens
4385,TT954,1P,Pair of Tens
4386,TT953,1P,Pair of Tens
4387,TT952,1P,Pair of Tens
4388,TT943,1P,Pair of Tens
4389,TT942,1P,Pair of Tens
4390,TT932,1P,Pair of Tens
4391,TT876,1P,Pair of Tens
4392,TT875,1P,Pair of Tens
4393,TT874,1P,Pair of Tens
4394,TT873,1P,Pair of Tens
4395,TT872,1P,Pair of Tens
4396,TT865,1P,Pair of Tens
4397,TT864,1P,Pair of Tens
4398,TT863,1P,Pair of Tens
4399,TT862,1P,Pair of Tens
4400,TT854,1P,Pair of Tens
4401,TT853,1P,Pair of Tens
4402,TT852,1P,Pair of Tens
4403,TT843,1P,Pair of Tens
4404,TT842,1P,Pair of Tens
4405,TT832,1P,Pair of Tens
4406,TT765,1P,Pair of Tens
4407,TT764,1P,Pair of Tens
4408,TT763,1P,Pair of Tens
4409,TT762,1P,Pair of Tens
4410,TT754,1P,Pair of Tens
4411,TT753,1P,Pair of Tens
4412,TT752,1P,Pair of Tens
4413,TT743,1P,Pair of Tens
4414,TT742,1P,Pair of Tens
4415,TT732,1P,Pair of Tens
4416,TT654,1P,Pair of Tens
4417,TT653,1P,Pair of Tens
4418,TT652,1P,Pair of Tens
4419,TT643,1P,Pair of Tens
4420,TT642,1P,Pair of Tens
4421,TT632,1P,Pair of Tens
4422,TT543,1P,Pair of Tens
4423,TT542,1P,Pair of Tens
4424,TT532,1P,Pair of Tens
4425,TT432,1P,Pair of Tens
4426,99AKQ,1P,Pair of Nines
4427,99AKJ,1P,Pair of Nines
4428,99AKT,1P,Pair of Nines
4429,99AK8,1P,Pair of Nines
4430,99AK7,1P,Pair of Nines
4431,99AK6,1P,Pair of Nines
4432,99AK5,1P,Pair of Nines
4433,99AK4,1P,Pair of Nines
4434,99AK3,1P,Pair of Nines
4435,99AK2,1P,Pair of Nines
4436,99AQJ,1P,Pair of Nines
4437,99AQT,1P,Pair of Nines
4438,99AQ8,1P,Pair of Nines
4439,99AQ7,1P,Pair of Nines
4440,99AQ6,1P,Pair of Nines
4441,99AQ5,1P,Pair of Nines
4442,99AQ4,1P,Pair of Nines
4443,99AQ3,1P,Pair of Nines
4444,99AQ2,1P,Pair of Nines
4445,99AJT,1P,Pair of Nines
4446,99AJ8,1P,Pair of Nines
4447,99AJ7,1P,Pair of Nines
4448,99AJ6,1P,Pair of Nines
4449,99AJ5,1P,Pair of Nines
4450,99AJ4,1P,Pair of Nines
4451,99AJ3,1P,Pair of Nines
4452,99AJ2,1P,Pair of Nines
4453,99AT8,1P,Pair of Nines
4454,99AT7,1P,Pair of Nines
4455,99AT6,1P,Pair of Nines
4456,99AT5,1P,Pair of Nines
4457,99AT4,1P,Pair of Nines
